period,Mira/Rumi/Zoey,Mira & Rumi & Zoey,Jinu/Rumi,Mira/Zoey,Mira/Rumi,Rumi/Zoey,Mystery/Zoey,Jinu & Rumi,Abby/Mira/Romance,Abby & Baby & Jinu & Mystery & Romance
2025-06-09/2025-06-15,0,9276,5285,0,0,0,0,0,0,0
2025-06-16/2025-06-22,102365,209915,461202,1469,4852,0,46148,136993,27273,10527
2025-06-23/2025-06-29,1187218,820192,1065986,355277,296248,211277,413107,212050,288062,228959
2025-06-30/2025-07-06,1110991,870540,872218,348068,292843,292550,459329,164867,249089,175926
2025-07-07/2025-07-13,1500155,841262,635475,418371,358864,359113,443950,182642,369000,235692
2025-07-14/2025-07-20,1184004,625635,550751,505333,311331,267172,275522,163608,163683,175793
2025-07-21/2025-07-27,907957,505601,459378,317204,148775,166131,222038,219884,167737,151226
2025-07-28/2025-08-03,1141592,582130,526973,301248,271224,250787,275370,192709,313380,147154
2025-08-04/2025-08-10,1155968,578962,471154,292722,336227,226768,273002,227744,137610,154381
2025-08-11/2025-08-17,1302733,566510,489488,416406,276713,228698,363805,135357,307872,167843
2025-08-18/2025-08-24,560709,322648,220176,251953,201932,181439,96467,30213,76820,66183
2025-08-25/2025-08-31,968353,465336,365269,298227,317355,262877,208486,200223,66126,167799
2025-09-01/2025-09-07,1020137,692878,597206,374016,368131,286492,373520,224612,162074,241351
2025-09-08/2025-09-14,994362,340978,245237,296143,211981,209787,91885,145955,72754,69499
2025-09-15/2025-09-21,1119355,456513,480198,371162,343417,283586,239566,112508,52998,199598
2025-09-22/2025-09-28,625020,325268,245287,206230,280880,130220,192601,65505,135034,177170
2025-09-29/2025-10-05,941850,513587,422636,335045,270165,220694,279459,162004,263622,123153
2025-10-06/2025-10-12,1692128,1115632,508978,830099,714364,553086,194428,227148,130624,74760
2025-10-13/2025-10-19,2813647,860125,776274,1384027,1420724,1285729,491905,1105975,281887,284701
2025-10-20/2025-10-26,1255827,809677,558415,598211,455022,347153,391587,232374,328105,323850
