relationship,kudos,works,words,chapters,collections,comments,bookmarks,hits,unique_authors
Jayce/Viktor (League of Legends),14899,100,2785350,744,29,6404,2494,366120,94
"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",14012,100,1610138,563,10,3233,2922,305369,92
Caitlyn/Vi (League of Legends),14121,100,4300041,979,15,6912,2696,498164,89
Bakugou Katsuki/Midoriya Izuku,31550,100,2599201,726,5,4405,2811,336507,97
Sirius Black/Remus Lupin,10177,100,6146098,1500,9,6396,2729,329144,98
James Potter/Lily Evans Potter,3830,100,4456681,1214,1,2366,1328,252505,63
Regulus Black/James Potter,11427,100,6949091,1641,3,10310,3188,446730,96
Hermione Granger/Draco Malfoy,15980,100,5699183,1456,20,15754,6387,635043,93
Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),9266,100,2128398,654,9,3781,1392,180132,91
Draco Malfoy/Harry Potter,25544,100,5471229,1427,21,20043,4281,908129,93
Agatha Harkness/Rio Vidal,22947,100,3351013,876,6,11747,3360,605621,91
Getou Suguru/Gojo Satoru,6852,100,3486552,877,3,3248,1167,157587,89
Shadow the Hedgehog/Sonic the Hedgehog,17875,100,4084523,1102,5,9212,2317,423901,83
"Evan ""Buck"" Buckley/Tommy Kinard",15123,100,1269540,507,38,4978,2367,297500,70
Han Jisung | Han/Lee Minho | Lee Know,9340,100,2836800,813,6,4863,1695,212827,97
Mydei/Phainon (Honkai: Star Rail),20364,100,2309762,543,11,5369,3172,459568,91
Ivan/Till (Alien Stage),8162,100,1141552,497,10,3058,1114,116452,86
Ekko/Jinx (League of Legends),13209,100,4128892,1199,18,9207,2425,463412,83
Colin Bridgerton/Penelope Featherington,31770,100,3949301,1494,6,14468,5834,955730,94
Xia Yizhou | Caleb/You,36702,100,5145893,1311,6,17282,4903,1050276,94
Qin Che | Sylus/You,24019,100,4359981,1105,4,12982,3179,835937,91
Hwang Inho | Front Man/Seong Gihun,26443,100,4263738,1049,11,15067,3369,654228,85
Jayce & Viktor (League of Legends),16565,100,3508018,838,17,7831,2974,355739,94
Logan | Worst Wolverine (Deadpool Movies)/Wade Wilson,6704,100,1069388,312,35,2630,892,111391,55
Tim Bradford/Lucy Chen,18401,100,1919458,646,10,4579,1846,441122,69
Ao Bing | East Sea Third Prince/Nezha | Third Lotus Prince,20786,100,5677037,1572,7,20343,3149,592630,92
Lucanis Dellamorte/Rook,5604,100,4205079,1088,11,6621,1011,149762,82
Alastor/Lucifer Magne | Morningstar,29449,100,6223460,1425,17,24810,4714,867690,87
Alhaitham/Kaveh (Genshin Impact),16606,100,2516431,1122,11,12993,1960,580645,92
Neuvillette/Wriothesley (Genshin Impact),19451,100,2209055,553,24,12841,2416,548200,68
Blitzo/Stolas Goetia,10730,100,4319553,998,1,7896,2136,450347,88
Barty Crouch Jr./Evan Rosier,8129,100,5773213,1509,4,8105,2386,321292,101
Aventurine/Dr. Ratio (Honkai: Star Rail),10303,100,1933949,601,2,2728,1343,207931,91
Charles Leclerc/Max Verstappen,32937,100,3463072,900,13,11703,5214,983217,86
"John ""Soap"" MacTavish/Simon ""Ghost"" Riley",17299,100,2024548,739,13,4070,2903,325165,85
Roronoa Zoro/Sanji,16598,100,2579934,789,8,4171,2647,432349,88
Mikage Reo/Nagi Seishirou,14095,100,2025980,795,3,7150,1623,298493,102
Choi Subong | Thanos/Namgyu,6969,100,1650935,512,21,2773,718,129502,73
Hua Cheng/Xie Lian (Tian Guan Ci Fu),12539,100,3515666,944,13,6330,2267,267395,94
Hermione Granger/Ron Weasley,9452,100,9062009,1804,10,5971,2254,410041,95
Kim Hongjoong/Park Seonghwa,12916,100,5007134,1055,8,5305,2626,407022,94
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,49422,100,7034323,2800,45,30072,9090,2042066,97
"Nicholas ""Nick"" Nelson/Charles ""Charlie"" Spring",18141,100,3615818,925,50,25288,3987,786141,74
Pure Vanilla Cookie/Shadow Milk Cookie (Cookie Run),24967,100,2487307,875,5,10222,3614,604831,92
Aziraphale/Crowley (Good Omens),9103,100,3235421,1016,45,11792,1615,322252,89
Bill Cipher/Ford Pines,15028,100,8775381,1373,39,14681,2213,480647,91
Caitlyn & Vi (League of Legends),18180,100,5545001,1230,3,8472,3573,727318,91
Annabeth Chase/Percy Jackson,30217,100,5313431,1498,10,25662,5461,1019591,97
Uchiha Sasuke/Uzumaki Naruto,13498,100,3158792,901,4,8331,2102,332532,86
Bakugou Katsuki & Midoriya Izuku,46155,100,7579881,1639,79,24262,9608,2275466,98
Nico di Angelo/Will Solace,27789,100,4618909,1562,13,29484,4610,904321,93
Elphaba Thropp/Galinda Upland,21114,100,4914840,921,21,16031,2863,512609,72
Jinx & Vi (League of Legends),16557,100,4483382,1159,8,10397,3237,606958,89
Main Character/Qin Che | Sylus,10139,100,3168932,951,12,5649,1719,305750,86
Li Shen | Zayne/You,16930,100,4202396,961,2,10217,2293,538821,95
Rook/Emmrich Volkarin,3877,100,2481895,759,32,3716,566,76815,62
Odysseus/Penelope (EPIC: The Musical),26781,100,3544706,1191,17,20195,4977,761927,94
"Evan ""Buck"" Buckley & Eddie Diaz (9-1-1 TV)",16034,100,1338078,558,16,3455,3092,366214,80
Armand/Daniel Molloy,8867,100,2160630,608,17,5897,1383,200389,85
"Simon ""Ghost"" Riley/Reader",13678,100,2817158,981,4,6310,2266,316917,87
Marlene McKinnon/Dorcas Meadowes,5394,100,5391306,1502,0,4363,1584,190568,96
Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian,20787,100,6880959,2657,15,10008,5208,692207,86
Lando Norris/Oscar Piastri,16648,100,2885053,689,10,7134,2443,554391,88
Dick Grayson & Jason Todd,20142,100,2283832,614,13,9157,4401,388812,99
Regulus Black & Sirius Black,17612,100,6420219,1318,26,13872,4719,922460,97
Dean Winchester & Sam Winchester,8685,100,2701500,826,20,4924,1657,223461,94
Main Character/Xia Yizhou | Caleb,13697,100,2740966,879,3,6392,2294,380078,92
Lestat de Lioncourt/Louis de Pointe du Lac,13873,100,2230853,591,7,8882,2753,339984,99
Jeon Wonwoo/Kim Mingyu,10945,100,2725260,817,6,3010,1746,323333,82
Neil Josten/Andrew Minyard,12193,100,3519902,1150,15,5106,1999,239916,90
Arzu/Nawfal (Sultan's Game),9088,100,2301480,573,9,5894,1603,154928,89
Alex Claremont-Diaz/Henry Fox-Mountchristen-Windsor,9858,100,2040758,589,22,4428,1353,241519,76
Steve Harrington/Eddie Munson,7960,100,2482772,608,16,4537,1599,163273,89
Edwin Paine | Edwin Payne/Charles Rowland,7857,100,1741800,406,43,6502,994,108003,68
Charlie Magne | Morningstar/Vaggie,19065,100,8516570,1841,3,19026,3331,838999,101
Qi Yu | Rafayel/You,16713,100,5233578,1075,7,11467,2529,580588,83
Charles | Grian/Ryan | GoodTimesWithScar,8393,100,2259252,649,14,3545,948,165838,92
Harry Potter/Ginny Weasley,16841,100,6398588,1644,17,8358,6586,837891,101
Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs),8220,100,1922443,777,26,3975,1284,160164,91
Ford Pines & Stan Pines,14250,100,3350774,860,25,10239,2584,276983,87
Mizi/Sua (Alien Stage),13488,100,960006,559,7,3772,1793,238527,92
Megatron/Optimus Prime,11149,100,2538793,785,10,3378,1601,220516,89
Tim Drake & Jason Todd,27232,100,1915409,561,15,10907,6082,472182,93
Astarion/Tav (Baldur's Gate),11651,100,7532668,1929,39,12948,2106,446928,99
Jeon Jungkook/Kim Taehyung | V,18176,100,7365631,1781,6,8949,3311,683574,79
Dick Grayson & Bruce Wayne,31699,100,3122296,850,19,14254,6990,630305,92
Harry Potter/Tom Riddle | Voldemort,93161,100,6583448,1852,124,47847,25383,3176688,93
Hans Capon/Henry,10603,100,2397073,758,8,6484,1238,196085,88
Jason Todd & Bruce Wayne,15164,100,1812836,604,12,6854,3166,297809,95
Hermione Granger/Harry Potter,34536,100,7419779,1705,20,17698,13335,3257983,89
Angel Dust/Husk (Hazbin Hotel),9958,100,6166080,1506,5,56351,1940,466225,98
Shen Xinghui | Xavier/You,15584,100,4179236,935,2,11030,2159,522740,81
Blackbeard | Edward Teach/Stede Bonnet,6370,100,2064163,583,50,10889,821,143619,76
Akechi Goro/Persona 5 Protagonist,7254,100,3564259,714,13,5816,1305,199609,90
Jeong Yunho/Song Mingi (ATEEZ),11925,100,6186954,1312,9,5844,2806,404635,90
Choi Seungcheol | S.Coups/Yoon Jeonghan,13620,100,4188058,1352,1,4584,1977,456577,89
Gojo Satoru/Reader,46564,100,4980931,1446,2,14382,6611,1404285,86
Hwang Hyunjin/Lee Felix,14751,100,5388474,1231,1,7917,2246,504076,97
Jinu/Rumi (KPop Demon Hunters),20591,100,2939469,1121,10,8692,4447,578826,89
Kamishiro Rui/Tenma Tsukasa,6092,100,1678226,752,6,6249,700,136491,87
