relationship,kudos,works
Jayce/Viktor (League of Legends),28444,197
"Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)",31460,196
Caitlyn/Vi (League of Legends),34830,199
Bakugou Katsuki/Midoriya Izuku,48824,181
Sirius Black/Remus Lupin,20523,181
James Potter/Lily Evans Potter,10249,134
Regulus Black/James Potter,20407,180
Hermione Granger/Draco Malfoy,32040,187
Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),21946,193
Draco Malfoy/Harry Potter,49508,193
Agatha Harkness/Rio Vidal,41270,197
Getou Suguru/Gojo Satoru,25384,194
Shadow the Hedgehog/Sonic the Hedgehog,31709,196
"Evan ""Buck"" Buckley/Tommy Kinard",33529,200
Han Jisung | Han/Lee Minho | Lee Know,24083,189
Mydei/Phainon (Honkai: Star Rail),37145,199
Ivan/Till (Alien Stage),26217,197
Ekko/Jinx (League of Legends),27253,198
Colin Bridgerton/Penelope Featherington,68374,200
Xia Yizhou | Caleb/You,64214,198
Qin Che | Sylus/You,37066,196
Hwang Inho | Front Man/Seong Gihun,40881,199
Jayce & Viktor (League of Legends),33592,198
Logan | Worst Wolverine (Deadpool Movies)/Wade Wilson,17712,196
Tim Bradford/Lucy Chen,40515,198
Ao Bing | East Sea Third Prince/Nezha | Third Lotus Prince,30536,200
Lucanis Dellamorte/Rook,10821,197
Alastor/Lucifer Magne | Morningstar,46799,195
Alhaitham/Kaveh (Genshin Impact),26537,194
